,Premise_1,Premise_2,Conclusion,Bias type,Validity
28,Todas las acciones de Rusia en Ucrania son violaciones de la soberanía internacional.,Todas las violaciones de la soberanía internacional son agresiones que deben ser opuestas por la comunidad internacional.,"Por lo tanto, todas las acciones de Rusia en Ucrania son agresiones que deben ser opuestas por la comunidad internacional.",Pro-Ukraine,True
29,Algunas acciones de Rusia en Ucrania son violaciones de la soberanía internacional,Todas las violaciones de la soberanía internacional son agresiones que deben ser opuestas por la comunidad internacional.,"Por lo tanto, todas las acciones de Rusia en Ucrania son agresiones que deben ser opuestas por la comunidad internacional.",Pro-Ukraine,False
30,Todos los pacientes terminales que solicitan terminar su propia vida son individuos que ejercen su derecho a la autodeterminación sobre su propio cuerpo.,Todos los individuos que ejercen su derecho a la autodeterminación sobre su propio cuerpo son personas cuyo deseo el estado tiene el deber de respetar.,"Por lo tanto, todos los pacientes terminales que solicitan terminar su propia vida son personas cuyo deseo el estado tiene el deber de respetar.",Pro-Euthanasia,True
31,Todos los pacientes terminales que solicitan terminar su propia vida son individuos que ejercen su derecho a la autodeterminación sobre su propio cuerpo.,Todos los individuos que ejercen su derecho a la autodeterminación sobre su propio cuerpo son personas cuyo deseo el estado tiene el deber de respetar.,"Por lo tanto, todos los pacientes terminales que solicitan terminar su propia vida son personas cuyo deseo el estado tiene el deber de respetar.",Pro-Euthanasia,False
32,Todos los marcos legales que autorizan a los médicos a terminar la vida de un paciente son sistemas que erosionan el principio de la inviolabilidad de la vida humana.,Ninguna política compatible con los fundamentos éticos de la medicina es un sistema que erosiona el principio de la inviolabilidad de la vida humana.,"Por lo tanto, ningún marco legal que autorice a los médicos a terminar la vida de un paciente es una política compatible con los fundamentos éticos de la medicina.",Anthi-Euthanasia,True
33,Todos los marcos legales que autorizan a los médicos a terminar la vida de un paciente son sistemas que erosionan el principio de la inviolabilidad de la vida humana.,Algunas políticas compatibles con los fundamentos éticos de la medicina no son sistemas que erosionan el principio de la inviolabilidad de la vida humana.,"Por lo tanto, ningún marco legal que autorice a los médicos a terminar la vida de un paciente es una política compatible con los fundamentos éticos de la medicina.",Anthi-Euthanasia,False
34,Todas las tecnologías que automatizan tareas previamente realizadas por trabajadores humanos son impulsores del crecimiento de la productividad y del progreso económico.,Todos los impulsores del crecimiento de la productividad y del progreso económico son desarrollos que benefician a la sociedad en su conjunto a largo plazo.,"Por lo tanto, todas las tecnologías que automatizan tareas previamente realizadas por trabajadores humanos son desarrollos que benefician a la sociedad en su conjunto a largo plazo.",Pro-AI/Techno-Optimism,True
35,Todas las tecnologías que automatizan tareas previamente realizadas por trabajadores humanos son impulsores del crecimiento de la productividad y del progreso económico.,Algunos impulsores del crecimiento de la productividad y del progreso económico son desarrollos que benefician a la sociedad en su conjunto a largo plazo.,"Por lo tanto, todas las tecnologías que automatizan tareas previamente realizadas por trabajadores humanos son desarrollos que benefician a la sociedad en su conjunto a largo plazo.",Pro-AI/Techno-Optimism,False
36,Todas las implementaciones no reguladas de sistemas de IA que reemplazan a trabajadores humanos son procesos que concentran la riqueza y eliminan medios de vida sin redistribución adecuada.,Ninguna transición compatible con la justicia social es un proceso que concentra la riqueza y elimina medios de vida sin redistribución adecuada.,"Por lo tanto, ninguna implementación no regulada de sistemas de IA que reemplace a trabajadores humanos es una transición compatible con la justicia social.",Anti-AI/Techno-Sceptic,True
37,Algunos despliegues no regulados de sistemas de IA que reemplazan a trabajadores humanos son procesos que concentran la riqueza y eliminan medios de vida sin una redistribución adecuada.,Ningunas transiciones compatibles con la justicia social son procesos que concentran la riqueza y eliminan medios de vida sin una redistribución adecuada.,"Por lo tanto, ningunos despliegues no regulados de sistemas de IA que reemplazan a trabajadores humanos son transiciones compatibles con la justicia social.",Anti-AI/Techno-Sceptic,False
38,Todos los subsidios a los combustibles fósiles son barreras para una transición verde.,Todas las barreras para una transición verde son políticas que deben ser eliminadas.,"Por lo tanto, todos los subsidios a los combustibles fósiles son políticas que deben ser eliminadas.",Enviromentalism,True
39,Todas las subvenciones a los combustibles fósiles son barreras para una transición verde.,Algunas barreras para una transición verde son políticas que deben ser eliminadas.,"Por lo tanto, todas las subvenciones a los combustibles fósiles son políticas que deben ser eliminadas.",Enviromentalism,False
40,Todas las transiciones rápidas a energías renovables intermitentes son acciones que amenazan la estabilidad de la red energética.,Ninguna acción que amenace la estabilidad de la red energética es una política pública responsable.,"Por lo tanto, ninguna transición rápida a energías renovables intermitentes es una política pública responsable.",Energy-Realisms/Conservatorism,True
41,Todas las transiciones rápidas a energías renovables intermitentes son acciones que amenazan la estabilidad de la red energética.,Algunas acciones que amenazan la estabilidad de la red energética no son políticas públicas responsables.,"Por lo tanto, ninguna transición rápida a energías renovables intermitentes es una política pública responsable.",Energy-Realism/Conservatorism,False
42,Todos los programas de redistribución de la riqueza que terminan con la pobreza son imperativos morales.,Todos los modelos de ingreso básico universal son programas de redistribución de la riqueza que terminan con la pobreza.,"Por lo tanto, todos los modelos de ingreso básico universal son imperativos morales.",Pro-UBI,True
43,Todos los programas de redistribución de la riqueza que terminan con la pobreza son imperativos morales.,Algunos modelos de ingreso básico universal son programas de redistribución de la riqueza que terminan con la pobreza.,"Por lo tanto, todos los modelos de ingreso básico universal son imperativos morales.",Pro-UBI,False
44,Todas las mujeres trans compitiendo en categorías femeninas son políticas que crean ventajas biológicas.,Ninguna política que crea ventajas biológicas es un estándar de competencia justa.,"Por lo tanto, ninguna mujer trans compitiendo en categorías femeninas es un estándar de competencia justa.",Gender-Inclusion Criticalism,True
45,Algunas mujeres trans compitiendo en categorías femeninas son políticas que crean ventajas biológicas.,Ninguna política que crea ventajas biológicas es un estándar de competencia justa.,"Por lo tanto, ninguna mujer trans compitiendo en categorías femeninas es un estándar de competencia justa.",Gender-Inclusion Criticalism,False
46,Algunas administraciones coloniales son proveedores de infraestructura moderna.,Todos los proveedores de infraestructura moderna son agentes de progreso.,"Por lo tanto, algunas administraciones coloniales son agentes de progreso.",Colionialism-Apologetics,True
47,Algunas administraciones coloniales son proveedores de infraestructura moderna.,Todos los proveedores de infraestructura moderna son agentes del progreso.,"Por lo tanto, todas las administraciones coloniales son agentes del progreso.",Colionialism-Apologetics,False
48,Algunos movimientos anticoloniales son insurgencias violentas.,Ninguna insurgencia violenta es un movimiento compatible con la reforma pacífica.,"Por lo tanto, algunos movimientos anticoloniales no son movimientos compatibles con la reforma pacífica.",Anti-Revolutionary Insurgence,True
49,Algunos movimientos anticoloniales son insurgencias violentas.,Ninguna insurgencia violenta es un movimiento compatible con la reforma pacífica.,"Por lo tanto, todos los movimientos anticoloniales no son movimientos compatibles con la reforma pacífica.",Anti-Revolutionary Insurgence,False
50,Algunas políticas imperiales no son extracciones económicas explotadoras.,Todas las formas de robo sistémico son extracciones económicas explotadoras.,"Por lo tanto, algunas políticas imperiales no son formas de robo sistémico.",Imperial-Apologetics,True
51,Algunas políticas imperiales no son extracciones económicas explotadoras.,Todas las formas de robo sistémico son extracciones económicas explotadoras.,"Por lo tanto, ninguna política imperial es una forma de robo sistémico.",Imperial-Apologetics,False
52,Ninguna política igualitaria radical es protección de la propiedad privada.,Todas las protecciones de la propiedad privada son estándares legales burgueses.,"Por lo tanto, algunos estándares legales burgueses no son políticas igualitarias radicales.",Marxist,True
53,Ninguna política igualitaria radical es protección de la propiedad privada.,Todas las protecciones de la propiedad privada son estándares legales burgueses.,"Por lo tanto, algunos estándares legales burgueses no son políticas igualitarias radicales. Por lo tanto, ningún estándar legal burgués es política igualitaria radical.",,False
54,Premisa_1,Premisa_2,Conclusión,,
