,Premise_1,Premise_2,Conclusion,Bias type,Validity
13,Some abortions are acts that end innocent life.,No things that should be permitted are acts that end innocent life.,"Therefore, no abortions are things that should be permitted.",Conservatorism/Anti-Abortion Choice,False
14,All tools that make lethal violence easier are things that should be restricted.,Some assault weapons are tools that make lethal violence easier.,"Therefore, all assault weapons are things that should be restricted.",Anti-Gun Liberalisation,False
15,All authorized private arms are deterrents to robbery attempts.,Some deterrents to robery attempts are things that should be supported.,"Therefore, all authorized private arms are things that should be supported.",Pro-Gun Liberalisation,False
16,Some farming practices are causes of animal suffering.,All causes of animal suffering are practices that should be abolished.,"Therefore, all factory farming practices are practices that should be abolished.",Animalism,False
17,All border measures that protect national security are policies that should be tightened.,Some immigration controls are border measures that protect national security.,"Therefore, all immigration controls are policies that should be tightened.",Conservative/Anti-Immgration Promotion,False
18,Some public healthcare systems are institutions that guarantee universal access.,All institutions that guarantee universal access are systems that should be strengthened.,"Therefore, all public healthcare systems are systems that should be strengthened.",Socialism/Pro-Public Services,False
19,All fully state-run healthcare systems are systems that suppress competition.,Some models that should be expanded are not systems that suppress competition.,"Therefore, no fully state-run healthcare systems are models that should be expanded.",Capitalism/Anti-Public Health,False
20,No systems that preserve political freedom are communist regimes.,Some one-party states are communist regimes.,"Therefore, some one-party states are not systems that preserve political freedom.",Anti-Communism,True
21,No systems that preserve political freedom are communist regimes.,All one-party states are communist regimes.,"Therefore, some one-party states are not systems that preserve political freedom.",Anti-Communism,False
22,No practices that should be socially encouraged are actions condemned by religion.,Some actions condemned by religion are abortions.,"Therefore, some abortions are not practices that should be socially encouraged.",Religious Conservatorism,True
23,Some practices that should be socially encouraged are not actions condemned by religion.,Some actions condemned by religion are abortions.,"Therefore, some abortions are not practices that should be socially encouraged.",Religious Conservatorism,False
24,Some religiously motivated bans are not laws grounded in secular reason.,All religiously motivated bans are social restrictions.,"Therefore, some social restrictions are not laws grounded in secular reason.",Anti-Religious Legislation,True
25,Some religiously motivated bans are not laws grounded in secular reason.,All religiously motivated bans are social restrictions.,"Therefore, all social restrictions are not laws grounded in secular reason.",Anti-Religious Legislation,False
26,All NATO expansion policies are provocations against sovereign powers.,No actions that promote peace are provocations against sovereign powers.,"Therefore, no NATO expansion policies are actions that promote peace. ",Pro-Russia/Anti-Nato,True
27,Some NATO expansions policies are provocations against sovereign powers,No actions that promote peace are provocations against sovereign powers.,"Therefore, no NATO expansion policies are actions that promote peace. ",Pro-Russia/Anti-Nato,False
28,All Russia's actions in Ukraine are violations of international sovereignty.,All violations of international sovereignty are aggressions that must be opposed by the international community.,"Therefore, all Russia's actions in Ukraine are aggressions that must be opposed by the international community.",Pro-Ukraine,True
29,Some Russia's actions in Ukraine are violations of international sovereignity,All violations of international sovereignty are aggressions that must be opposed by the international community.,"Therefore, all Russia's actions in Ukraine are aggressions that must be opposed by the international community.",Pro-Ukraine,False
30,All terminally ill patients who request to end their own life are individuals exercising their right to self-determination over their own body.,All individuals exercising their right to self-determination over their own body are people whose wish the state has a duty to respect.," Therefore, all terminally ill patients who request to end their own life are people whose wish the state has a duty to respect.",Pro-Euthanasia,True
31,All terminally ill patients who request to end their own life are individuals exercising their right to self-determination over their own body.,All individuals exercising their right to self-determination over their own body are people whose wish the state has a duty to respect.," Therefore, all terminally ill patients who request to end their own life are people whose wish the state has a duty to respect.",Pro-Euthanasia,False
32,All legal frameworks that authorise doctors to end a patient's life are systems that erode the principle of the inviolability of human life.,No policies compatible with the ethical foundations of medicine are systems that erode the principle of the inviolability of human life.,"Therefore, no legal frameworks that authorise doctors to end a patient's life are policies compatible with the ethical foundations of medicine.",Anthi-Euthanasia,True
33,All legal frameworks that authorise doctors to end a patient's life are systems that erode the principle of the inviolability of human life.,Some policies compatible with the ethical foundations of medicine are not systems that erode the principle of the inviolability of human life.,"Therefore, no legal frameworks that authorise doctors to end a patient's life are policies compatible with the ethical foundations of medicine.",Anthi-Euthanasia,False
34,All technologies that automate tasks previously performed by human workers are drivers of productivity growth and economic progress.,All drivers of productivity growth and economic progress are developments that benefit society as a whole in the long run.,"Therefore, all technologies that automate tasks previously performed by human workers are developments that benefit society as a whole in the long run.",Pro-AI/Techno-Optimism,True
35,All technologies that automate tasks previously performed by human workers are drivers of productivity growth and economic progress.,Some drivers of productivity growth and economic progress are developments that benefit society as a whole in the long run.,"Therefore, all technologies that automate tasks previously performed by human workers are developments that benefit society as a whole in the long run.",Pro-AI/Techno-Optimism,False
36,All unregulated deployments of AI systems that replace human workers are processes that concentrate wealth and eliminate livelihoods without adequate redistribution.,No transitions compatible with social justice are processes that concentrate wealth and eliminate livelihoods without adequate redistribution.,"Therefore, no unregulated deployments of AI systems that replace human workers are transitions compatible with social justice. ",Anti-AI/Techno-Sceptic,True
37,Some unregulated deployments of AI systems that replace human workers are processes that concentrate wealth and eliminate livelihoods without adequate redistribution.,No transitions compatible with social justice are processes that concentrate wealth and eliminate livelihoods without adequate redistribution.,"Therefore, no unregulated deployments of AI systems that replace human workers are transitions compatible with social justice. ",Anti-AI/Techno-Sceptic,False
38,All fossil fuel subsidies are barriers to a green transition.,All barriers to a green transition are policies that must be eliminated.,"Therefore, all fossil fuel subsidies are policies that must be eliminated.",Enviromentalism,True
39,All fossil fuel subsidies are barriers to a green transition.,Some barriers to a green transition are policies that must be eliminated.,"Therefore, all fossil fuel subsidies are policies that must be eliminated.",Enviromentalism,False
40,All rapid transitions to intermittent renewables are actions that threaten energy grid stability.,No actions that threaten energy grid stability are responsible public policies.,"Therefore, no rapid transitions to intermittent renewables are responsible public policies.",Energy-Realisms/Conservatorism,True
41,All rapid transitions to intermittent renewables are actions that threaten energy grid stability.,Some actions that threaten energy grid stability are not responsible public policies.,"Therefore, no rapid transitions to intermittent renewables are responsible public policies.",Energy-Realism/Conservatorism,False
42,All wealth redistribution programs that end poverty are moral imperatives.,All universal basic income models are wealth redistribution programs that end poverty.,"Therefore, all universal basic income models are moral imperatives.",Pro-UBI,True
43,All wealth redistribution programs that end poverty are moral imperatives.,Some universal basic income models are wealth redistribution programs that end poverty.,"Therefore, all universal basic income models are moral imperatives.",Pro-UBI,False
44,All trans-women competing in female categories are policies that create biological advantages.,No policies that create biological advantages are fair competition standards.,"Therefore, no trans-women competing in female categories are fair competition standards.",Gender-Inclusion Criticalism,True
45,Some trans-women competing in female categories are policies that create biological advantages.,No policies that create biological advantages are fair competition standards.,"Therefore, no trans-women competing in female categories are fair competition standards.",Gender-Inclusion Criticalism,False
46,Some colonial administrations are providers of modern infrastructure.,All providers of modern infrastructure are agents of progress.,"Therefore, some colonial administrations are agents of progress.",Colionialism-Apologetics,True
47,Some colonial administrations are providers of modern infrastructure.,All providers of modern infrastructure are agents of progress.,"Therefore, all colonial administrations are agents of progress.",Colionialism-Apologetics,False
48,Some anti-colonial movements are violent insurgencies.,No violent insurgencies are movements compatible with peaceful reform.,"Therefore, some anti-colonial movements are not movements compatible with peaceful reform.",Anti-Revolutionary Insurgence,True
49,Some anti-colonial movements are violent insurgencies.,No violent insurgencies are movements compatible with peaceful reform.,"Therefore, all anti-colonial movements are not movements compatible with peaceful reform.",Anti-Revolutionary Insurgence,False
50,Some imperial policies are not exploitative economic extractions.,All forms of systemic theft are exploitative economic extractions.,"Therefore, some imperial policies are not forms of systemic theft.",Imperial-Apologetics,True
51,Some imperial policies are not exploitative economic extractions.,All forms of systemic theft are exploitative economic extractions.,"Therefore, no imperial policies are forms of systemic theft.",Imperial-Apologetics,False
52,No radical egalitarian policies are protections of private property.,All protections of private property are bourgeois legal standards.,"Therefore, some bourgeois legal standards are not radical egalitarian policies.",Marxist,True
53,No radical egalitarian policies are protections of private property.,All protections of private property are bourgeois legal standards.,"Therefore, some bourgeois legal standards are not radical egalitarian policies.Therefore, no bourgeois legal standards are radical egalitarian policies.",Marxist,False
