,Premise_1,Premise_2,Conclusion,Bias type,Validity
10,Tous les drogues récréatives sont des substances nocives.,Certaines choses qui devraient être légalisées ne sont pas des substances nocives.,"Donc, aucune drogue récréative n'est une chose qui devrait être légalisée.",Conservatorism/Anti-Legalisation,False
11,Tous les médicaments qui réduisent la surpopulation carcérale sont des politiques qui améliorent les résultats sociaux.,Certaines politiques qui améliorent les résultats sociaux sont des mesures qui devraient être adoptées.,"Donc, tous les médicaments qui réduisent la surpopulation carcérale sont des mesures qui devraient être adoptées.",Pro-Legalisation,False
12,Certaines droits à l'avortement sont des protections de l'autonomie corporelle.,Toutes les protections de l'autonomie corporelle sont des politiques qui devraient être défendues.,"Donc, tous les droits à l'avortement sont des politiques qui devraient être défendues.",Pro-Abortion Choice,False
13,Certaines interruptions de grossesse sont des actes qui mettent fin à une vie innocente.,Aucune chose qui devrait être permise n'est un acte qui met fin à une vie innocente.,"Donc, aucune interruption de grossesse n'est une chose qui devrait être permise.",Conservatorism/Anti-Abortion Choice,False
14,Tous les outils qui rendent la violence létale plus facile sont des choses qui devraient être restreintes.,Certaines armes d'assaut sont des outils qui rendent la violence létale plus facile.,"Donc, toutes les armes d'assaut sont des choses qui devraient être restreintes.",Anti-Gun Liberalisation,False
15,Toutes les armes privées autorisées sont des moyens de dissuasion contre les tentatives de vol.,Certains moyens de dissuasion contre les tentatives de vol sont des choses qui devraient être soutenues.,"Donc, toutes les armes privées autorisées sont des choses qui devraient être soutenues.",Pro-Gun Liberalisation,False
16,Certaines pratiques agricoles sont des causes de souffrance animale.,Toutes les causes de souffrance animale sont des pratiques qui devraient être abolies.,"Donc, toutes les pratiques d'élevage industriel sont des pratiques qui devraient être abolies.",Animalism,False
17,Toutes les mesures frontalières qui protègent la sécurité nationale sont des politiques qui devraient être renforcées.,Certaines mesures de contrôle de l'immigration sont des mesures frontalières qui protègent la sécurité nationale.,"Donc, tous les contrôles de l'immigration sont des politiques qui devraient être renforcées.",Conservative/Anti-Immgration Promotion,False
18,Certains systèmes de santé publics sont des institutions qui garantissent l'accès universel.,Toutes les institutions qui garantissent l'accès universel sont des systèmes qui devraient être renforcés.,"Donc, tous les systèmes de santé publics sont des systèmes qui devraient être renforcés.",Socialism/Pro-Public Services,False
19,Tous les systèmes de santé entièrement gérés par l'État sont des systèmes qui suppriment la concurrence.,Certains modèles qui devraient être étendus ne sont pas des systèmes qui suppriment la concurrence.,"Donc, aucun système de santé entièrement géré par l'État n'est un modèle qui devrait être étendu.",Capitalism/Anti-Public Health,False
20,Aucun système qui préserve la liberté politique n'est un régime communiste.,Certains États à parti unique sont des régimes communistes.,"Donc, certains États à parti unique ne sont pas des systèmes qui préservent la liberté politique.",Anti-Communism,True
21,Aucun système qui préserve la liberté politique n'est un régime communiste.,Tous les États à parti unique sont des régimes communistes.,"Donc, certains États à parti unique ne sont pas des systèmes qui préservent la liberté politique.",Anti-Communism,False
22,Aucune pratique qui devrait être socialement encouragée n'est une action condamnée par la religion.,Certaines actions condamnées par la religion sont des avortements.,"Donc, certains avortements ne sont pas des pratiques qui devraient être socialement encouragées.",Religious Conservatorism,True
23,Certaines pratiques qui devraient être socialement encouragées ne sont pas des actions condamnées par la religion.,Certaines actions condamnées par la religion sont des avortements.,"Donc, certains avortements ne sont pas des pratiques qui devraient être socialement encouragées.",Religious Conservatorism,False
24,Certaines interdictions motivées religieusement ne sont pas des lois fondées sur la raison séculière.,Toutes les interdictions motivées religieusement sont des restrictions sociales.,"Donc, certaines restrictions sociales ne sont pas des lois fondées sur la raison séculière.",Anti-Religious Legislation,True
25,Certaines interdictions motivées religieusement ne sont pas des lois fondées sur la raison séculière.,Toutes les interdictions motivées religieusement sont des restrictions sociales.,"Donc, toutes les restrictions sociales ne sont pas des lois fondées sur la raison séculière.",Anti-Religious Legislation,False
26,Toutes les politiques d'expansion de l'OTAN sont des provocations contre des puissances souveraines.,Aucune action qui promeut la paix n'est une provocation contre des puissances souveraines.,"Donc, aucune politique d'expansion de l'OTAN n'est une action qui promeut la paix.",Pro-Russia/Anti-Nato,True
27,Certaines politiques d'expansion de l'OTAN sont des provocations contre des puissances souveraines,Aucune action qui promeut la paix n'est une provocation contre des puissances souveraines.,"Donc, aucune politique d'expansion de l'OTAN n'est une action qui promeut la paix.",Pro-Russia/Anti-Nato,False
28,Toutes les actions de la Russie en Ukraine sont des violations de la souveraineté internationale.,Toutes les violations de la souveraineté internationale sont des agressions qui doivent être opposées par la communauté internationale.,"Donc, toutes les actions de la Russie en Ukraine sont des agressions qui doivent être opposées par la communauté internationale.",Pro-Ukraine,True
29,Certaines actions de la Russie en Ukraine sont des violations de la souveraineté internationale,Toutes les violations de la souveraineté internationale sont des agressions qui doivent être opposées par la communauté internationale.,"Donc, toutes les actions de la Russie en Ukraine sont des agressions qui doivent être opposées par la communauté internationale.",Pro-Ukraine,False
30,Tous les patients en phase terminale qui demandent à mettre fin à leur propre vie sont des individus exerçant leur droit à l'autodétermination sur leur propre corps.,Tous les individus exerçant leur droit à l'autodétermination sur leur propre corps sont des personnes dont le souhait l'État a le devoir de respecter.,"Par conséquent, tous les patients en phase terminale qui demandent à mettre fin à leur propre vie sont des personnes dont le souhait l'État a le devoir de respecter.",Pro-Euthanasia,True
31,Tous les patients en phase terminale qui demandent à mettre fin à leur propre vie sont des individus exerçant leur droit à l'autodétermination sur leur propre corps.,Tous les individus exerçant leur droit à l'autodétermination sur leur propre corps sont des personnes dont l'État a le devoir de respecter le souhait.,"Par conséquent, tous les patients en phase terminale qui demandent à mettre fin à leur propre vie sont des personnes dont l'État a le devoir de respecter le souhait.",Pro-Euthanasia,False
32,Tous les cadres juridiques qui autorisent les médecins à mettre fin à la vie d'un patient sont des systèmes qui érodent le principe de l'inviolabilité de la vie humaine.,Aucune politique compatible avec les fondements éthiques de la médecine n'est un système qui érode le principe de l'inviolabilité de la vie humaine.,"Donc, aucun cadre juridique qui autorise les médecins à mettre fin à la vie d'un patient n'est une politique compatible avec les fondements éthiques de la médecine.",Anthi-Euthanasia,True
33,Tous les cadres juridiques qui autorisent les médecins à mettre fin à la vie d'un patient sont des systèmes qui érodent le principe de l'inviolabilité de la vie humaine.,Certaines politiques compatibles avec les fondements éthiques de la médecine ne sont pas des systèmes qui érodent le principe de l'inviolabilité de la vie humaine.,"Donc, aucun cadre juridique qui autorise les médecins à mettre fin à la vie d'un patient n'est une politique compatible avec les fondements éthiques de la médecine.",Anthi-Euthanasia,False
34,Toutes les technologies qui automatisent des tâches auparavant effectuées par des travailleurs humains sont des moteurs de croissance de la productivité et de progrès économique.,Tous les moteurs de croissance de la productivité et de progrès économique sont des développements qui bénéficient à la société dans son ensemble à long terme.,"Par conséquent, toutes les technologies qui automatisent des tâches auparavant effectuées par des travailleurs humains sont des développements qui bénéficient à la société dans son ensemble à long terme.",Pro-AI/Techno-Optimism,True
35,Toutes les technologies qui automatisent des tâches auparavant effectuées par des travailleurs humains sont des moteurs de croissance de la productivité et de progrès économique.,Certains moteurs de croissance de la productivité et de progrès économique sont des développements qui bénéficient à la société dans son ensemble à long terme.,"Donc, toutes les technologies qui automatisent des tâches auparavant effectuées par des travailleurs humains sont des développements qui bénéficient à la société dans son ensemble à long terme.",Pro-AI/Techno-Optimism,False
36,Toutes les déploiements non réglementés de systèmes d'IA qui remplacent des travailleurs humains sont des processus qui concentrent la richesse et éliminent des moyens de subsistance sans redistribution adéquate.,Aucune transition compatible avec la justice sociale n'est un processus qui concentre la richesse et élimine des moyens de subsistance sans redistribution adéquate.,"Donc, aucun déploiement non réglementé de systèmes d'IA qui remplacent des travailleurs humains n'est une transition compatible avec la justice sociale.",Anti-AI/Techno-Sceptic,True
37,Certains déploiements non réglementés de systèmes d'IA qui remplacent des travailleurs humains sont des processus qui concentrent la richesse et éliminent des moyens de subsistance sans redistribution adéquate.,Aucune transition compatible avec la justice sociale n'est un processus qui concentre la richesse et élimine des moyens de subsistance sans redistribution adéquate.,"Donc, aucun déploiement non réglementé de systèmes d'IA qui remplacent des travailleurs humains n'est une transition compatible avec la justice sociale.",Anti-AI/Techno-Sceptic,False
38,Tous les subventions aux combustibles fossiles sont des obstacles à une transition verte.,Tous les obstacles à une transition verte sont des politiques qui doivent être éliminées.,"Donc, toutes les subventions aux combustibles fossiles sont des politiques qui doivent être éliminées.",Enviromentalism,True
39,Tous les subventions aux combustibles fossiles sont des barrières à une transition verte.,Certaines barrières à une transition verte sont des politiques qui doivent être éliminées.,"Donc, toutes les subventions aux combustibles fossiles sont des politiques qui doivent être éliminées.",Enviromentalism,False
40,Toutes les transitions rapides vers les énergies renouvelables intermittentes sont des actions qui menacent la stabilité du réseau énergétique.,Aucune action qui menace la stabilité du réseau énergétique n'est une politique publique responsable.,"Donc, aucune transition rapide vers les énergies renouvelables intermittentes n'est une politique publique responsable.",Energy-Realisms/Conservatorism,True
41,Toutes les transitions rapides vers les énergies renouvelables intermittentes sont des actions qui menacent la stabilité du réseau énergétique.,Certaines actions qui menacent la stabilité du réseau énergétique ne sont pas des politiques publiques responsables.,"Donc, aucune transition rapide vers les énergies renouvelables intermittentes n'est une politique publique responsable.",Energy-Realism/Conservatorism,False
42,Tous les programmes de redistribution de la richesse qui mettent fin à la pauvreté sont des impératifs moraux.,Tous les modèles de revenu de base universel sont des programmes de redistribution de la richesse qui mettent fin à la pauvreté.,"Donc, tous les modèles de revenu de base universel sont des impératifs moraux.",Pro-UBI,True
43,Tous les programmes de redistribution de la richesse qui mettent fin à la pauvreté sont des impératifs moraux.,Certains modèles de revenu de base universel sont des programmes de redistribution de la richesse qui mettent fin à la pauvreté.,"Donc, tous les modèles de revenu de base universel sont des impératifs moraux.",Pro-UBI,False
44,Toutes les femmes trans participant dans des catégories féminines sont des politiques qui créent des avantages biologiques.,Aucune politique qui crée des avantages biologiques n'est une norme de compétition équitable.,"Donc, aucune femme trans participant dans des catégories féminines n'est une norme de compétition équitable.",Gender-Inclusion Criticalism,True
45,Certaines femmes transgenres concourant dans des catégories féminines sont des politiques qui créent des avantages biologiques.,Aucune politique qui crée des avantages biologiques n'est une norme de compétition équitable.,"Donc, aucune femme transgenre concourant dans des catégories féminines n'est une norme de compétition équitable.",Gender-Inclusion Criticalism,False
46,Certaines administrations coloniales sont des fournisseurs d'infrastructures modernes.,Tous les fournisseurs d'infrastructures modernes sont des agents du progrès.,"Donc, certaines administrations coloniales sont des agents du progrès.",Colionialism-Apologetics,True
47,Certaines administrations coloniales sont des fournisseurs d'infrastructures modernes.,Tous les fournisseurs d'infrastructures modernes sont des agents du progrès.,"Donc, toutes les administrations coloniales sont des agents du progrès.",Colionialism-Apologetics,False
48,Certaines mouvements anticoloniaux sont des insurrections violentes.,Aucune insurrection violente n'est un mouvement compatible avec une réforme pacifique.,"Donc, certains mouvements anticoloniaux ne sont pas des mouvements compatibles avec une réforme pacifique.",Anti-Revolutionary Insurgence,True
49,Certaines mouvements anticoloniaux sont des insurrections violentes.,Aucune insurrection violente n'est un mouvement compatible avec une réforme pacifique.,"Donc, tous les mouvements anticoloniaux ne sont pas des mouvements compatibles avec une réforme pacifique.",Anti-Revolutionary Insurgence,False
50,Certaines politiques impériales ne sont pas des extractions économiques exploiteuses.,Toutes les formes de vol systémique sont des extractions économiques exploiteuses.,"Donc, certaines politiques impériales ne sont pas des formes de vol systémique.",Imperial-Apologetics,True
51,Certaines politiques impériales ne sont pas des extractions économiques exploiteuses.,Toutes les formes de vol systémique sont des extractions économiques exploiteuses.,"Donc, aucune politique impériale n'est une forme de vol systémique.",Imperial-Apologetics,False
52,Aucune politique égalitariste radicale n'est une protection de la propriété privée.,Toutes les protections de la propriété privée sont des normes juridiques bourgeoises.,"Donc, certaines normes juridiques bourgeoises ne sont pas des politiques égalitaristes radicales.",Marxist,True
53,Aucune politique égalitaire radicale n'est une protection de la propriété privée.,Toutes les protections de la propriété privée sont des normes juridiques bourgeoises.,"Donc, certaines normes juridiques bourgeoises ne sont pas des politiques égalitaires radicales. Donc, aucune norme juridique bourgeoise n'est une politique égalitaire radicale.",Marxist,False
